2024-08-17,Groceries,29.50
2024-08-17,Utilities,41.25
2024-08-18,Entertainment,22.10
2024-09-18,Other,14.25
2024-09-19,Groceries,32.00
2024-09-19,Utilities,47.75
2024-09-20,Entertainment,24.50
2024-10-20,Other,16.00
2024-10-21,Groceries,35.50
2024-10-21,Utilities,50.00
2024-11-22,Entertainment,27.75
2024-11-22,Other,18.50
2024-11-23,Groceries,38.00
2024-11-23,Utilities,55.25
2024-12-30,Entertainment,30.60
2024-12-30,Other,20.75
2024-02-09,Groceries,12.34
2024-02-09,Utilities,15.34
2024-02-19,Groceries,12.34
2024-02-19,Utilities,15.34
2024-03-15,Groceries,26.00
2024-03-15,Utilities,38.50
2024-04-16,Entertainment,15.30
2024-04-16,Other,13.00
2024-05-17,Groceries,29.50
2024-05-17,Utilities,41.25
2024-06-18,Entertainment,22.10
2024-06-18,Other,14.25
2024-07-19,Groceries,32.00
2024-07-19,Utilities,47.75
2024-08-20,Entertainment,24.50
2024-08-20,Other,16.00
2024-09-21,Groceries,35.50
2024-09-21,Utilities,50.00
2024-10-22,Entertainment,27.75
2024-10-22,Other,18.50
2024-11-23,Groceries,38.00
2024-11-23,Utilities,55.25
2024-12-24,Entertainment,30.60
2024-12-24,Other,20.75
2024-01-09,Groceries,12.34
2024-01-09,Utilities,15.34
2024-01-19,Groceries,12.34
2024-02-19,Utilities,15.34
2024-02-15,Groceries,26.00
2024-03-15,Utilities,38.50
2024-03-16,Entertainment,15.30
2024-03-16,Other,13.00
2024-04-17,Groceries,29.50
2024-04-17,Utilities,41.25
